geonameid,name,lat,lon,region,department,population,settlement_morpheme,naming_language,religious_element,ethnonym,ethnonym_stem,split_ordinal,patronym,patronym_group,eco_term,eco_kind,name_reuse_count
13658782,Ditéli,13.1058,-16.06038,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252290,Diwane,14.97652,-16.11803,Louga,Kebemer,0,,,,,,,,,,,1
2252998,Diâba,16.0383,-13.73095,Matam,Matam,0,,,,,,,,,,,1
2252997,Diâba Déklé,16.0551,-13.76202,Saint Louis,Podor,0,,,,,,,,,,,1
2252991,Diâba Maoundé,16.05845,-13.76896,Saint Louis,Podor,0,,,,,,,,,,,1
13551637,Diâbi,14.81464,-15.4981,Diourbel,Mbacke,0,,,,,,,,,,,1
2252981,Diâbèl,14.58646,-15.57412,Fatick,Gossas,0,,,,,,,,,,,1
2252671,Diâranguel,16.21319,-13.92526,Saint Louis,Podor,0,,,,,,,,,,,1
13509326,Dièmoul,14.1822,-16.09465,Kaolack,Kaolack,0,,,,,,,,,,,1
2252559,Dièndér,14.45754,-16.11256,Fatick,Gossas,0,,,,,,,,,,,1
2252557,Diène,15.03333,-16.35,Thies,Tivaoune,0,,,,,,,,,,,1
2252585,Diéba,12.81667,-14.91667,Kolda,Kolda,0,,,,,,,,,,,1
2252584,Diébel Loro,15.3,-16.08333,Louga,Kebemer,0,,,,,,,,,,,1
13658806,Diédiel,13.01216,-16.20247,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252579,Diégoun,12.83667,-16.3675,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252722,Diégue,15.64452,-13.39646,Matam,Matam,0,,,,,,,,,,,1
2252578,Diégué,13.01936,-16.18893,Ziguinchor,Bignona,0,,,,,,,,,,,1
13504702,Diékinane,14.96707,-16.50547,Diourbel,Bambey,0,,,,,,,,,,,1
2252577,Diéla,15.24296,-12.89888,Matam,Kanel,0,,,,,,,,,,,1
2252576,Diélani,13.91106,-12.69451,Tambacounda,Goudiry,0,,,,,,,,,,,1
2595941,Diéleuk Peul,14.96778,-17.03785,Thies,Tivaoune,0,,,,Peul (Fulani),Diéleuk,,,,,,1
2247796,Diéleuk Wolof,14.96997,-17.03292,Thies,Tivaoune,0,,,,Wolof,Diéleuk,,,,,,1
2252574,Diéling,14.62164,-16.8158,Thies,Thies,0,,,,,,,,,,,1
2252572,Diélinkine,13.08055,-16.08178,Ziguinchor,Bignona,0,,,,,,,,,,,2
2252573,Diélinkine,13.05962,-16.10069,Ziguinchor,Bignona,0,,,,,,,,,,,2
2252570,Diélmon,13.72604,-16.41302,Fatick,Foundiougne,0,,,,,,,,,,,1
2252285,Diélé,15.2343,-15.6421,Louga,Linguere,0,,,,,,,,,,,1
2252575,Diélékénoum,12.51667,-16.41667,Ziguinchor,Ziguinchor,0,,,,,,,,,,,1
2595545,Diémbès,14.73432,-17.11675,Thies,Thies,0,,,,,,,,,,,1
2252563,Diémi,12.95,-16.0,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252561,Diémoul,15.2287,-16.3366,Thies,Tivaoune,0,,,,,,,,,,,1
2252565,Diémékounda,12.86667,-15.23333,Sedhiou,Sedhiou,0,kounda,Mandinka,,,,,,,,,1
13658727,Diénoukounda,13.14381,-16.5635,Ziguinchor,Bignona,0,kounda,Mandinka,,,,,,,,,1
2252550,Diénoun Diala,13.21667,-13.11667,Tambacounda,Tambacounda,0,,,,,,,,,,,1
13504586,Diéné,14.91372,-16.8391,Thies,Tivaoune,0,,,,,,,,,,,1
2252547,Diéri Birane,15.3919,-15.3585,Louga,Linguere,0,,,,,,,,,,,1
2252546,Diéri Douga,16.43187,-14.42599,Saint Louis,Podor,0,,,,,,,,,,,1
2252545,Diéri Kao,13.61667,-15.58333,Kaolack,Nioro Du Rip,0,,,,,,,,,,,1
2252549,Diéré,14.9,-16.45,Diourbel,Bambey,0,,,,,,,,,,,2
13505427,Diéré,14.9913,-16.3086,Diourbel,Diourbel,0,,,,,,,,,,,2
2252389,Diôrel,14.7547,-16.35024,Diourbel,Bambey,0,,,,,,,,,,,1
2252287,Djambou,14.71667,-15.56667,Diourbel,Mbacke,0,,,,,,,,,,,1
2248568,Djamé,14.67016,-15.59566,Fatick,Gossas,0,,,,,,,,,,,1
6917794,Djendji,12.6758,-12.1775,Kedougou,Kedougou,0,,,,,,,,,,,1
2252283,Djené,14.55,-15.75,Fatick,Gossas,0,,,,,,,,,,,1
2252280,Djibabouya,12.79194,-15.96778,Sedhiou,Sedhiou,0,,,,,,,,,,,1
2252277,Djibakounda,13.3952,-12.4311,Tambacounda,Goudiry,0,kounda,Mandinka,,,,,,,,,1
2252278,Djibakéné,13.05,-15.26667,Sedhiou,Bounkiling,0,,,,,,,,,,,1
13658729,Djibali,13.05982,-16.59562,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252275,Djibanar,12.54556,-16.25917,Ziguinchor,Ziguinchor,0,,,,,,,,,,,2
2252276,Djibanar,12.5425,-15.81056,Sedhiou,Goudomp,0,,,,,,,,,,,2
2251268,Djibara,13.10268,-16.4087,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252274,Djibaya,14.23832,-16.01151,Kaolack,Guinguineo,0,,,,,,,,,,,1
2252269,Djibiam,13.07023,-16.28161,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252270,Djibidione,13.06173,-16.2623,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252268,Djibohère,12.53333,-16.35,Ziguinchor,Ziguinchor,0,,,,,,,,,,,1
2252267,Djibonker,12.53333,-16.35,Ziguinchor,Ziguinchor,0,,,,,,,,,,,1
2252273,Djibélor,12.55528,-16.325,Ziguinchor,Ziguinchor,0,,,,,,,,,,,1
2252271,Djibélor Baïnouk,12.55,-16.3,Ziguinchor,Ziguinchor,0,,,,,,,,,,,1
13551156,Djibéré Diamwéli,14.90168,-15.89209,Diourbel,Mbacke,0,,,,,,,,,,,1
2252265,Djida,14.2162,-15.10194,Kaffrine,Malem Hodar,0,,,,,,,,,,,4
2252266,Djida,13.41667,-14.9,Kolda,Medina Yoroufoula,0,,,,,,,,,,,4
