geonameid,name,asciiname,lat,lon,feature_code,admin1_code,admin2_code,population,lang_guess,name_root,name_dupe_count
2250430,Keur Daour Diong,Keur Daour Diong,14.78333,-16.46667,PPL,03,,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
2253182,Keur Darou Mbacké,KeurDarouMbacke,14.6656,-15.95784,PPL,03,,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
2595910,Keur Dawour Sis,Keur Dawour Sis,14.79902,-17.06226,PPL,07,,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
2250429,Keur Demba,Keur Demba,15.53333,-16.26667,PPL,13,,0,Wolof,"Keur = ""house/home of"" (founder name follows)",2
13554409,Keur Demba,KeurDemba,14.12537,-15.86244,PPL,10,10778869,0,Wolof,"Keur = ""house/home of"" (founder name follows)",2
13504551,Keur Demba Anta,KeurDembaAnta,14.81176,-16.82579,PPL,07,2244804,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
2250427,Keur Demba Ba,Keur Demba Ba,13.8,-15.63333,PPL,16,,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
13504545,Keur Demba Bâ,KeurDembaBa,14.88707,-16.76559,PPL,07,2244388,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
2250426,Keur Demba Diabaye,Keur Demba Diabaye,14.41667,-15.95,PPL,09,,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
2250425,Keur Demba Diabi,Keur Demba Diabi,13.6,-15.86667,PPL,10,,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
13509350,Keur Demba Diaw,KeurDembaDiaw,14.04367,-16.01738,PPL,10,2250807,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
13509349,Keur Demba Diki,KeurDembaDiki,14.0899,-16.20711,PPL,10,2250807,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
13507281,Keur Demba Khokh,KeurDembaKhokh,14.50254,-16.12578,PPL,09,2251492,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
2250423,Keur Demba Kébé,Keur Demba Kebe,14.7153,-16.88346,PPL,07,,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
2253315,Keur Demba Ngoye,KeurDembaNgoye,14.78487,-16.86329,PPL,07,,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
2250419,Keur Demba Sap,KeurDembaSap,15.01077,-16.44094,PPL,03,,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
2250421,Keur Demba Sira,Keur Demba Sira,15.7241,-15.7593,PPL,13,,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
2250422,Keur Demba Sène,Keur Demba Sene,14.82028,-17.03361,PPL,07,,0,Wolof,"Keur = ""house/home of"" (founder name follows)",1
